admin0_code,date,cases,deaths
AD,2020-03-09,1,0
AD,2020-03-10,1,0
AD,2020-03-11,1,0
AD,2020-03-12,1,0
AD,2020-03-13,1,0
AD,2020-03-14,1,0
AD,2020-03-15,5,0
AD,2020-03-16,14,0
AD,2020-03-17,39,0
AD,2020-03-18,39,0
AD,2020-03-19,74,0
AD,2020-03-20,75,0
AD,2020-03-21,88,0
AD,2020-03-22,113,1
AD,2020-03-23,133,1
AD,2020-03-24,164,1
AD,2020-03-25,188,1
AD,2020-03-26,224,3
AD,2020-03-27,267,3
AD,2020-03-28,308,3
AD,2020-03-29,334,6
AD,2020-03-30,370,8
AD,2020-03-31,376,12
AD,2020-04-01,390,14
AD,2020-04-02,428,15
AD,2020-04-03,439,16
AD,2020-04-04,466,17
AD,2020-04-05,501,18
AD,2020-04-06,525,21
AD,2020-04-07,545,22
AD,2020-04-08,564,23
AD,2020-04-09,583,25
AD,2020-04-10,601,26
AD,2020-04-11,601,26
AD,2020-04-12,638,29
AD,2020-04-13,646,29
AD,2020-04-14,659,31
AD,2020-04-15,673,33
AD,2020-04-16,673,33
AD,2020-04-17,696,35
AD,2020-04-18,704,35
AD,2020-04-19,713,36
AD,2020-04-20,717,37
AD,2020-04-21,717,37
AD,2020-04-22,723,37
AD,2020-04-23,723,37
AD,2020-04-24,731,40
AD,2020-04-25,738,40
AD,2020-04-26,738,40
AD,2020-04-27,738,40
AD,2020-04-28,743,41
AD,2020-04-29,743,42
AD,2020-04-30,745,42
AD,2020-05-01,745,43
AD,2020-05-02,747,44
AD,2020-05-03,748,45
AD,2020-05-04,750,45
AD,2020-05-05,751,46
AD,2020-05-06,751,46
AD,2020-05-07,752,47
AD,2020-05-08,752,47
AD,2020-05-09,754,48
AD,2020-05-10,755,48
AD,2020-05-11,755,48
AD,2020-05-12,758,48
AD,2020-05-13,760,49
AD,2020-05-14,761,49
AD,2020-05-15,761,49
AD,2020-05-16,761,49
AD,2020-05-17,761,50
AD,2020-05-18,761,50
AD,2020-05-19,761,51
AD,2020-05-20,762,51
AD,2020-05-21,762,51
AD,2020-05-22,762,51
AD,2020-05-23,762,51
AD,2020-05-24,762,51
AD,2020-05-25,763,51
AD,2020-05-26,763,51
AD,2020-05-27,763,51
AD,2020-05-28,763,51
AD,2020-05-29,764,51
AD,2020-05-30,764,51
AD,2020-05-31,764,51
AD,2020-06-01,765,51
AD,2020-06-02,844,51
AD,2020-06-03,851,51
AD,2020-06-04,852,51
AD,2020-06-05,852,51
AD,2020-06-06,852,51
AD,2020-06-07,852,51
AD,2020-06-08,852,51
AD,2020-06-09,852,51
AD,2020-06-10,852,51
AD,2020-06-11,852,51
AD,2020-06-12,853,51
AD,2020-06-13,853,51
AD,2020-06-14,853,51
AD,2020-06-15,853,51
AD,2020-06-16,854,52
AD,2020-06-17,854,52
AD,2020-06-18,855,52
AD,2020-06-19,855,52
AD,2020-06-20,855,52
AD,2020-06-21,855,52
AD,2020-06-22,855,52
AD,2020-06-23,855,52
AD,2020-06-24,855,52
AD,2020-06-25,855,52
AD,2020-06-26,855,52
AD,2020-06-27,855,52
AD,2020-06-28,855,52
AD,2020-06-29,855,52
AD,2020-06-30,855,52
AD,2020-07-01,855,52
AD,2020-07-02,855,52
AD,2020-07-03,855,52
AD,2020-07-04,855,52
AD,2020-07-05,855,52
AD,2020-07-06,855,52
AD,2020-07-07,855,52
AD,2020-07-08,855,52
AD,2020-07-09,855,52
AD,2020-07-10,855,52
AD,2020-07-11,855,52
AD,2020-07-12,855,52
AD,2020-07-13,858,52
AD,2020-07-14,861,52
AD,2020-07-15,861,52
AD,2020-07-16,877,52
AD,2020-07-17,880,52
AD,2020-07-18,880,52
AD,2020-07-19,880,52
AD,2020-07-20,884,52
AD,2020-07-21,884,52
AD,2020-07-22,889,52
AE,2020-03-09,59,0
AE,2020-03-10,74,0
AE,2020-03-11,74,0
AE,2020-03-12,85,0
AE,2020-03-13,85,0
AE,2020-03-14,85,0
AE,2020-03-15,98,0
AE,2020-03-16,98,0
AE,2020-03-17,113,0
AE,2020-03-18,113,0
AE,2020-03-19,140,0
AE,2020-03-20,140,2
AE,2020-03-21,153,2
AE,2020-03-22,153,2
AE,2020-03-23,198,2
AE,2020-03-24,248,2
AE,2020-03-25,333,2
AE,2020-03-26,333,2
AE,2020-03-27,405,2
AE,2020-03-28,468,2
AE,2020-03-29,570,3
AE,2020-03-30,611,5
AE,2020-03-31,664,6
AE,2020-04-01,814,8
AE,2020-04-02,1024,8
AE,2020-04-03,1264,9
AE,2020-04-04,1505,10
AE,2020-04-05,1799,10
AE,2020-04-06,2076,11
AE,2020-04-07,2359,12
AE,2020-04-08,2659,12
AE,2020-04-09,2990,14
AE,2020-04-10,3360,16
AE,2020-04-11,3736,20
AE,2020-04-12,4123,22
AE,2020-04-13,4521,25
AE,2020-04-14,4933,28
AE,2020-04-15,5365,33
AE,2020-04-16,5825,35
AE,2020-04-17,6302,37
AE,2020-04-18,6302,37
AE,2020-04-19,6781,41
AE,2020-04-20,7265,43
AE,2020-04-21,7755,46
AE,2020-04-22,8238,52
AE,2020-04-23,8756,56
AE,2020-04-24,9281,64
AE,2020-04-25,9813,71
AE,2020-04-26,10349,76
AE,2020-04-27,10839,82
AE,2020-04-28,11380,89
AE,2020-04-29,11929,98
AE,2020-04-30,12481,105
AE,2020-05-01,13038,111
AE,2020-05-02,13599,119
AE,2020-05-03,14163,126
AE,2020-05-04,14730,137
AE,2020-05-05,15192,146
AE,2020-05-06,15738,157
AE,2020-05-07,16240,165
AE,2020-05-08,16793,174
AE,2020-05-09,17417,185
AE,2020-05-10,18198,198
AE,2020-05-11,18878,201
AE,2020-05-12,19661,203
AE,2020-05-13,20386,206
AE,2020-05-14,21084,208
AE,2020-05-15,21705,211
AE,2020-05-16,22326,214
AE,2020-05-17,22947,217
AE,2020-05-18,23568,220
AE,2020-05-19,25063,227
AE,2020-05-20,26004,233
AE,2020-05-21,26898,237
AE,2020-05-22,27892,241
AE,2020-05-23,28704,244
AE,2020-05-24,29485,245
AE,2020-05-25,30307,248
AE,2020-05-26,31086,253
AE,2020-05-27,31969,255
AE,2020-05-28,32532,258
AE,2020-05-29,33170,260
AE,2020-05-30,33896,262
AE,2020-05-31,34557,264
AE,2020-06-01,35192,266
AE,2020-06-02,35788,269
AE,2020-06-03,36359,270
AE,2020-06-04,37018,273
AE,2020-06-05,37642,274
AE,2020-06-06,38268,275
AE,2020-06-07,38808,276
AE,2020-06-08,39376,281
AE,2020-06-09,39904,283
AE,2020-06-10,40507,284
AE,2020-06-11,40986,286
AE,2020-06-12,41499,287
AE,2020-06-13,41990,288
AE,2020-06-14,42294,289
AE,2020-06-15,42636,291
AE,2020-06-16,42982,293
AE,2020-06-17,43364,295
AE,2020-06-18,43752,298
AE,2020-06-19,44145,300
AE,2020-06-20,44533,301
AE,2020-06-21,44925,302
AE,2020-06-22,45303,303
AE,2020-06-23,45683,305
AE,2020-06-24,46133,307
AE,2020-06-25,46563,308
AE,2020-06-26,46973,310
AE,2020-06-27,47360,311
AE,2020-06-28,47797,313
AE,2020-06-29,48246,314
AE,2020-06-30,48667,315
AE,2020-07-01,49069,316
AE,2020-07-02,49469,317
AE,2020-07-03,50141,318
AE,2020-07-04,50857,321
AE,2020-07-05,51540,323
AE,2020-07-06,52068,324
AE,2020-07-07,52600,326
AE,2020-07-08,53045,327
AE,2020-07-09,53577,328
AE,2020-07-10,54050,330
AE,2020-07-11,54453,331
AE,2020-07-12,54854,333
AE,2020-07-13,55198,334
AE,2020-07-14,55573,335
AE,2020-07-15,55848,335
