region,cases,deaths,recovered
USA,5251446,166192,2715934
Brazil,3057470,101857,2163812
India,2269052,45361,1583489
Russia,897599,15131,703175
South Africa,563598,10621,417200
Mexico,485836,53003,327993
Peru,483133,21276,329404
Colombia,397623,13154,221485
Chile,375044,10139,347342
Spain,370060,28576,N/A
Iran,328844,18616,286642
UK,311641,46526,N/A
Saudi Arabia,289947,3199,253478
Pakistan,285191,6112,261246
Bangladesh,260507,3438,150437
Argentina,253868,4764,174974
Italy,250825,35209,202248
Turkey,241997,5858,224970
Germany,218500,9265,198900
France,202775,30340,82836
Iraq,153599,5464,109790
Philippines,136638,2294,68159
Indonesia,127083,5765,82236
Canada,120132,8987,106355
Qatar,113262,188,109993
Kazakhstan,100164,1269,73702
Egypt,95666,5035,53779
Ecuador,94701,5932,78608
Bolivia,91635,3712,30823
Israel,85222,613,59999
Ukraine,83115,1951,44934
Sweden,82972,5766,N/A
Oman,81787,521,76124
Dominican Republic,80499,1328,44910
Panama,75394,1664,49510
Belgium,74620,9879,17792
Kuwait,72400,482,64028
Belarus,68947,589,64991
UAE,62704,357,56766
Romania,62547,2729,30311
Netherlands,59194,6157,N/A
Guatemala,56987,2222,45589
Singapore,55292,27,49609
Portugal,52825,1759,38600
Poland,52410,1809,36877
Japan,47990,1047,33058
Honduras,47872,1506,6649
Nigeria,46867,950,33346
Bahrain,44397,163,41209
Ghana,41212,215,38727
Armenia,40593,803,33157
Kyrgyzstan,40455,1478,32734
Afghanistan,37162,1328,26228
Switzerland,36708,1987,32400
Algeria,35712,1312,24920
Morocco,34063,516,24524
Azerbaijan,33647,492,30642
Uzbekistan,31545,202,22992
Serbia,28262,646,18965
Moldova,27841,850,19300
Kenya,26928,423,13495
Venezuela,26800,229,16930
Ireland,26768,1772,23364
Costa Rica,23872,244,7823
Ethiopia,23591,420,10411
Nepal,23310,79,16493
Austria,22106,723,20010
Australia,21713,331,12144
El Salvador,20872,570,9762
Czechia,18494,390,12983
Cameroon,18042,395,15320
Ivory Coast,16798,105,13052
Denmark,14815,620,12925
S. Korea,14660,305,13729
Palestine,14510,100,8045
Bosnia and Herzegovina,14498,425,8159
Bulgaria,13512,459,7980
Madagascar,13202,151,11011
Sudan,11956,781,6266
North Macedonia,11942,528,8087
Senegal,11312,236,7390
Norway,9684,256,8857
DRC,9489,224,8363
Malaysia,9094,125,8803
French Guiana,8324,49,7549
Zambia,8210,241,6802
Gabon,8006,51,5823
Guinea,7930,50,6898
Tajikistan,7827,62,6614
Haiti,7649,183,4982
Finland,7601,333,6980
Paraguay,7234,82,5276
Luxembourg,7216,121,6170
Lebanon,6812,80,2290
Mauritania,6555,157,5570
Albania,6536,200,3379
Libya,5929,125,724
Greece,5749,213,3804
Croatia,5649,158,4906
Djibouti,5347,59,5120
Maldives,5157,19,2835
Equatorial Guinea,4821,83,2182
Zimbabwe,4748,104,1524
Hungary,4746,605,3527
Malawi,4674,146,2430
CAR,4641,60,1721
Hong Kong,4149,55,2916
Nicaragua,3902,123,2913
Montenegro,3696,68,2521
Congo,3664,58,1589
Thailand,3351,58,3163
Eswatini,3309,61,1634
Somalia,3227,93,1728
Namibia,3101,19,715
Mayotte,3068,39,2835
Cuba,3046,88,2460
Cabo Verde,2883,32,2128
Sri Lanka,2871,11,2622
Slovakia,2599,31,1866
Mali,2573,125,1969
Suriname,2489,30,1674
South Sudan,2470,47,1175
Mozambique,2411,16,860
Lithuania,2283,81,1679
Slovenia,2255,128,1960
Estonia,2167,63,1968
Rwanda,2152,7,1392
Guinea-Bissau,2052,29,944
Iceland,1962,10,1838
Benin,1936,38,1600
Sierra Leone,1917,69,1447
Yemen,1832,518,915
Tunisia,1717,51,1265
Angola,1679,78,569
New Zealand,1570,22,1526
Uruguay,1364,37,1146
Uganda,1297,9,1137
Latvia,1293,32,1078
Jordan,1268,11,1187
Georgia,1264,17,1054
Syria,1255,52,364
Cyprus,1252,19,870
Liberia,1240,79,725
Gambia,1235,23,221
Burkina Faso,1204,54,984
Niger,1158,69,1062
Malta,1112,9,688
Togo,1067,25,729
Botswana,1066,2,80
Jamaica,1031,14,745
Andorra,963,52,839
Chad,945,76,843
Bahamas,945,15,113
Sao Tome and Principe,878,15,800
Vietnam,847,15,399
Lesotho,781,24,175
Diamond Princess,712,13,651
San Marino,699,42,657
Réunion,690,5,631
